canonical_smiles,molecule_chembl_id,pIC50,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value
COc1ccc(SC[C@H]2c3cccc(O)c3C(=O)C3=C(O)[C@]4(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)C4[C@@H](O)C32)cc1,CHEMBL339135,5.920818753952375,=,=,IC50,nM,1200.0,IC50,uM,1.2
CC[C@@H](C)[C@@H](NC[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CCCN=C(N)N)C(=O)N[C@@H](CC(C)C)C(=O)O,CHEMBL1793838,5.199970640755866,=,=,IC50,nM,6310.0,IC50,nM,6310.0
CCCCOC(=O)NS(=O)(=O)c1ccccc1-c1ccc(Cn2c(CCCC)nc3ccc(NC(=O)N(C)C(C)C)cc3c2=O)c(F)c1,CHEMBL415073,9.356547323513812,=,=,IC50,nM,0.44,IC50,nM,0.44
CCCCc1nc2ccc(NC(=O)N(C)C(C)C)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OCCC2CC2)cc1F,CHEMBL306362,8.920818753952375,=,=,IC50,nM,1.2,IC50,nM,1.2
COc1cc(/C=C(\C#N)C(=O)O)ccc1O,CHEMBL307250,3.4881166390211256,=,=,IC50,nM,325000.0,IC50,uM,325.0
COC(=O)[C@@H](CC1CCCCC1)Nc1nc2ccccc2o1,CHEMBL2110344,7.0,=,=,IC50,nM,100.0,IC50,uM,0.1
CN(C)CCc1c[nH]c2ccc(Cn3ncnn3)cc12,CHEMBL53467,6.699991797446187,=,=,IC50,nM,199.53,pIC50,,6.7
CC(=N)NCCOCCC(N)C(=O)O,CHEMBL155413,5.853871964321762,=,=,IC50,nM,1400.0,IC50,uM,1.4
CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,CHEMBL335158,8.0,<,<,IC50,nM,10.0,IC50,uM,0.01
COc1ccc2c(c1)C(O)(CNCC1CCN(C(=O)Cn3c(=O)sc4ccc(Cl)cc43)CC1)CCC2,CHEMBL409418,7.552841968657781,=,=,IC50,nM,28.0,IC50,nM,28.0
CC(C)[C@@H]1NC(=O)c2ccc(s2)CNC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)N(C)C1=O,CHEMBL66922,7.0,=,=,IC50,nM,100.0,IC50,uM,0.1
CN(C)CCn1c(=O)c2ccc(NCCNCCO)c3c(=O)c4ccccc4n(c1=O)c23,CHEMBL85039,6.638272163982407,=,=,IC50,nM,230.0,IC50,uM,0.23
CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,CHEMBL137635,4.193209728415933,=,=,IC50,nM,64090.0,IC50,uM,64.09
O=C(O)C(=O)c1cn(Cc2ccccc2)c2ccc(-c3ccc(OC(F)(F)F)cc3)cc12,CHEMBL325441,5.568636235841013,=,=,IC50,nM,2700.0,IC50,uM,2.7
C/C(=N/OC1CCOCC1)C1(O)CCN(c2ccc(-c3cc(-c4cccc(Br)c4)c4c(N)ncnc4n3)cn2)CC1,CHEMBL322448,7.359518563029578,=,=,IC50,nM,43.7,IC50,nM,43.7
C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](C#N)CCc1ccccc1,CHEMBL356588,3.8728952016351923,=,=,IC50,nM,134000.0,IC50,nM,134000.0
CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(Br)c(C)cc23)=Nc2ccccc21,CHEMBL174612,8.154901959985743,=,=,IC50,nM,7.0,IC50,uM,0.007
C[C@@H]1CC/C(=N\OC(c2ccccc2)c2ccccc2)[C@H]1C/C=C\CCCC(=O)O,CHEMBL20263,6.096910013008056,=,=,IC50,nM,800.0,IC50,uM,0.8
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,CHEMBL658,8.638272163982407,=,=,IC50,nM,2.3,IC50,nM,2.3
O=C(Nc1ccc(Cl)cc1C(=O)Nc1ccc(Cl)cn1)c1ccc(-c2ccccc2N2CCCC2)cc1,CHEMBL362229,8.55284196865778,=,=,IC50,nM,2.8,IC50,nM,2.8
CN(C)CCc1c[nH]c2ccc(Cc3nncn3C)cc12,CHEMBL54103,7.599980364934842,=,=,IC50,nM,25.12,pIC50,,7.6
CC(C)/N=C(\NC#N)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,CHEMBL109198,4.214670164989233,=,=,IC50,nM,61000.0,IC50,uM,61.0
CC(C)C[C@H](NP1(=O)OC(C)C(O)C(O)C1O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-].[Na+],CHEMBL81732,5.296708621881339,=,=,IC50,nM,5050.0,IC50,uM,5.05
C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,CHEMBL275040,5.3979400086720375,=,=,IC50,nM,4000.0,IC50,uM,4.0
CCNC(=O)Nc1ccc2nc(CC)n(Cc3ccc(-c4ccccc4S(=O)(=O)NC(=O)OCCC4CC4)cc3F)c(=O)c2c1,CHEMBL306361,7.920818753952375,=,=,IC50,nM,12.0,IC50,nM,12.0
COc1ccc(-c2nc3cc(-c4ccc(F)cc4)ccc3o2)cc1N1C(=O)c2ccc(C(=O)O)cc2C1=O,CHEMBL324065,4.823908740944319,=,=,IC50,nM,15000.0,IC50,uM,15.0
Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1,CHEMBL297008,4.0,>,>,IC50,nM,100000.0,IC50,uM,100.0
CN(Cc1cc2ccccc2n1C)C(=O)/C=C/c1ccc(N)nc1,CHEMBL297053,5.619788758288394,=,=,IC50,nM,2400.0,IC50,uM,2.4
CN(C1=CC(=O)C(=O)c2ccccc21)c1ccccc1,CHEMBL58292,4.45742352373947,=,=,IC50,nM,34880.0,IC50,uM,34.88
C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@H]([C@@H](C)c2ccc3ccccc3c2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)NC1=O,CHEMBL2371108,5.0,>,>,IC50,nM,10000.0,IC50,nM,10000.0
CC(C)=CCC/C(C)=C/CC/C(C)=C/CCP(=O)(O)OP(=O)(O)O,CHEMBL1160239,4.376750709602099,=,=,IC50,nM,42000.0,I50,uM,42.0
Cc1cccc2nc(NC(C)C)oc(=O)c12,CHEMBL10756,4.204119982655925,>,>,IC50,nM,62500.0,IC50,uM,62.5
CC(=O)O.N=C(N)CCCC[C@H]1C(=O)O[C@H]2CCC[C@@H]21,CHEMBL323543,4.987162775294828,>=,>=,IC50,nM,10300.0,IC50,uM,10.3
N=C(N)NCCCC(NC(=O)C(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)N1CCCc2ccccc2C1,CHEMBL42861,4.292429823902063,=,=,IC50,nM,51000.0,IC50,uM,51.0
N#Cc1ccc(S(=O)(=O)Nc2cccc(C(c3c(O)c4c(oc3=O)CCCCCC4)C3CC3)c2)cc1,CHEMBL2062136,5.823908740944319,=,=,IC50,nM,1500.0,IC50,uM,1.5
COc1ccc(CNC(=O)C[C@H]2S[C@H](c3ccc(Cl)cc3Cl)N(CC(=O)NCCCN3CCOCC3)C2=O)c(OC)c1,CHEMBL297173,4.494850021680094,=,=,IC50,nM,32000.0,IC50,uM,32.0
CCCCNC(=O)[C@@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CCCC)N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(C)C,CHEMBL263725,8.060480747381382,=,=,IC50,nM,8.7,IC50,nM,8.7
Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3C(=O)[O-])cc1)C(=O)CC2.[K+],CHEMBL150987,7.070581074285707,=,=,IC50,nM,85.0,IC50,nM,85.0
CS(=O)(=O)c1ccc(-n2cnc(Br)c2-c2ccc(F)cc2)cc1,CHEMBL326577,7.443697499232712,=,=,IC50,nM,36.0,IC50,uM,0.036
CNC(=O)c1cc2c(Oc3ccc(/C=C/C(=O)NCCN(CCO)CCO)cc3)cncc2s1,CHEMBL116958,6.0,>,>,IC50,nM,1000.0,IC50,nM,1000.0
c1ccc(C(OCCN2CCN(Cc3cc4ccccc4[nH]3)CC2)c2ccccc2)cc1,CHEMBL159423,8.581698708680255,=,=,IC50,nM,2.62,IC50,nM,2.62
COc1cccc(-c2cnc(Nc3ccc(-c4cnco4)c(OC)c3)o2)c1,CHEMBL430981,5.0,>,>,IC50,nM,10000.0,IC50,uM,10.0
O=S1(=O)c2cccc3cccc(c23)N1CCN1CCC(CCc2c[nH]c3ccc(F)cc23)CC1,CHEMBL18501,8.096910013008056,=,=,IC50,nM,8.0,IC50,nM,8.0
CCCn1cnc2c1c1nnnn1c(=O)n2CCC,CHEMBL322358,4.7447274948966935,=,=,IC50,nM,18000.0,IC50,uM,18.0
CC(C)C[C@H]1C(=O)N([C@@H](Cc2ccccc2)C(=O)NCCCCCC(=O)NO)C(=O)C12CCCC2,CHEMBL317734,5.823908740944319,=,=,IC50,nM,1500.0,IC50,uM,1.5
Cc1cnc(CC(N)C(=O)O)n1O,CHEMBL104039,3.6989700043360187,>,>,IC50,nM,200000.0,IC50,uM,200.0
CN1N=C(N)c2cn(C3O[C@H](CO)[C@H]4O[C@H]34)c3ncnc1c23,CHEMBL315509,4.0,>,>,IC50,nM,100000.0,IC50,uM,100.0
CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc2ccccc2c1)C(C)C,CHEMBL168909,8.0,=,=,IC50,nM,10.0,IC50,nM,10.0
c1ccc2c(c1)CC[C@@]13CCCC[C@]21NCC3,CHEMBL434324,6.82102305270683,=,=,IC50,nM,151.0,IC50,nM,151.0
O=C(NO)[C@H]1CCCC[C@@H]1C(=O)Nc1ccc(COc2ccnc3ccccc23)cc1,CHEMBL135696,4.301029995663981,>,>,IC50,nM,50000.0,IC50,uM,50.0
COC(=O)/C=C/c1ccc(O)c(O)c1,CHEMBL17001,4.0,>,>,IC50,nM,100000.0,IC50,uM,100.0
CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N1CCOCC1,CHEMBL341437,5.045757490560675,=,=,IC50,nM,9000.0,IC50,uM,9.0
Cc1ccc2nc3ccc(C(=O)NCCCCc4cccnc4)cn3c(=O)c2c1,CHEMBL300338,7.0,=,=,IC50,nM,100.0,IC50,uM,0.1
CNC(=O)c1cc2c(Oc3ccc(C#N)cc3)cncc2s1,CHEMBL115971,7.7447274948966935,=,=,IC50,nM,18.0,IC50,nM,18.0
CCOC(=O)c1ccc2c(c1)CC(NCC(O)c1cccc(Cl)c1)CC2.Cl,CHEMBL541542,6.732828271596986,=,=,IC50,nM,185.0,IC50,nM,185.0
CN1C(=O)NC(=O)[C@]12CCOc1ccc(F)cc12,CHEMBL2310845,4.0,=,=,IC50,nM,100000.0,IC50,M,0.0001
O=Nc1c(-c2c(O)[nH]c3cc(I)ccc23)[nH]c2ccccc12,CHEMBL177146,6.522878745280337,=,=,IC50,nM,300.0,IC50,uM,0.3
O=C(O)CCCCCN1C(=O)C=CC1=O,CHEMBL47391,3.0969100130080562,>,>,IC50,nM,800000.0,IC50,uM,800.0
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,CHEMBL19019,4.508638306165727,=,=,IC50,nM,31000.0,IC50,uM,31.0
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL22,5.568636235841013,=,=,IC50,nM,2700.0,IC50,uM,2.7
COc1ccc(C[C@H](N)C(=O)N[C@H]2C(=O)NCC(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](C(=O)O)C(C)(C)SSC2(C)C)cc1,CHEMBL407250,4.958607314841775,=,=,IC50,nM,11000.0,IC50,nM,11000.0
COC(=O)[C@]1(C)CC[C@]2(C)CC[C@]3(C)C4CC(=O)c5c(cc(O)c(O)c5C=O)[C@]4(C)CC[C@@]3(C)C2C1,CHEMBL165325,6.0,=,=,IC50,nM,1000.0,IC50,uM,1.0
NC1C(=O)NC2Cc3ccc(c(Cl)c3)Oc3cc4cc(c3O)Oc3ccc(cc3Cl)C(O)C3NC(=O)C(NC(=O)C4NC(=O)C(NC2=O)c2cc(O)cc(c2)Oc2cc1ccc2O)c1ccc(O)c(c1)-c1c(O)cc(O)cc1[C@H](C(=O)NC1C2CC4CC(C2)CC1C4)NC3=O,CHEMBL437840,4.585026652029182,=,=,IC50,nM,26000.0,IC50,uM,26.0
